symbol;yahoo finance
PSCH;https://query1.finance.yahoo.com/v7/finance/download/PSCH?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PSCI;https://query1.finance.yahoo.com/v7/finance/download/PSCI?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PSCT;https://query1.finance.yahoo.com/v7/finance/download/PSCT?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PSCM;https://query1.finance.yahoo.com/v7/finance/download/PSCM?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PSCU;https://query1.finance.yahoo.com/v7/finance/download/PSCU?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
VRIG;https://query1.finance.yahoo.com/v7/finance/download/VRIG?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PHO;https://query1.finance.yahoo.com/v7/finance/download/PHO?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
ISTR;https://query1.finance.yahoo.com/v7/finance/download/ISTR?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
ISBC;https://query1.finance.yahoo.com/v7/finance/download/ISBC?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
ITIC;https://query1.finance.yahoo.com/v7/finance/download/ITIC?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
NVIV;https://query1.finance.yahoo.com/v7/finance/download/NVIV?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IVTY;https://query1.finance.yahoo.com/v7/finance/download/IVTY?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IONS;https://query1.finance.yahoo.com/v7/finance/download/IONS?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IOVA;https://query1.finance.yahoo.com/v7/finance/download/IOVA?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IPAS;https://query1.finance.yahoo.com/v7/finance/download/IPAS?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IPGP;https://query1.finance.yahoo.com/v7/finance/download/IPGP?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IPIC;https://query1.finance.yahoo.com/v7/finance/download/IPIC?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
CLRG;https://query1.finance.yahoo.com/v7/finance/download/CLRG?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
CSML;https://query1.finance.yahoo.com/v7/finance/download/CSML?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IQ;https://query1.finance.yahoo.com/v7/finance/download/IQ?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IRMD;https://query1.finance.yahoo.com/v7/finance/download/IRMD?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IRTC;https://query1.finance.yahoo.com/v7/finance/download/IRTC?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IRIX;https://query1.finance.yahoo.com/v7/finance/download/IRIX?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IRDM;https://query1.finance.yahoo.com/v7/finance/download/IRDM?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IRDMB;https://query1.finance.yahoo.com/v7/finance/download/IRDMB?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IRBT;https://query1.finance.yahoo.com/v7/finance/download/IRBT?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IRWD;https://query1.finance.yahoo.com/v7/finance/download/IRWD?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IRCP;https://query1.finance.yahoo.com/v7/finance/download/IRCP?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
PMPT;https://query1.finance.yahoo.com/v7/finance/download/PMPT?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
SLQD;https://query1.finance.yahoo.com/v7/finance/download/SLQD?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
CSJ;https://query1.finance.yahoo.com/v7/finance/download/CSJ?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
ISHG;https://query1.finance.yahoo.com/v7/finance/download/ISHG?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
SHY;https://query1.finance.yahoo.com/v7/finance/download/SHY?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
TLT;https://query1.finance.yahoo.com/v7/finance/download/TLT?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
IEI;https://query1.finance.yahoo.com/v7/finance/download/IEI?period1=1357016400&period2=1530421200&interval=1d&events=history&crumb=Vr35aU1Xmct
